month_start_date,total_monthly_quantity_sold,total_monthly_revenue,previous_month_revenue,mom_growth_revenue_pct,total_monthly_orders,previous_month_orders,mom_growth_orders_pct,running_revenue,revenue_contribution_pct,avg_order_value,trend_label
2010-12-01,14,43419,NULL,NULL,14,NULL,NULL,43419,0.15,3101.36,Base Month
2011-01-01,144,469795,43419,982.00,144,14,928.57,513214,1.60,3262.47,High Growth
2011-02-01,144,466307,469795,-0.74,144,144,0.00,979521,1.59,3238.24,Stable
2011-03-01,150,485165,466307,4.04,150,144,4.17,1464686,1.65,3234.43,Stable
2011-04-01,157,502042,485165,3.48,157,150,4.67,1966728,1.71,3197.72,Stable
2011-05-01,174,561647,502042,11.87,174,157,10.83,2528375,1.91,3227.86,Moderate Growth
2011-06-01,230,737793,561647,31.36,230,174,32.18,3266168,2.51,3207.80,High Growth
2011-07-01,188,596710,737793,-19.12,188,230,-18.26,3862878,2.03,3173.99,Decline
2011-08-01,193,614516,596710,2.98,193,188,2.66,4477394,2.09,3184.02,Stable
2011-09-01,185,603047,614516,-1.87,185,193,-4.15,5080441,2.05,3259.71,Stable
2011-10-01,221,708164,603047,17.43,221,185,19.46,5788605,2.41,3204.36,Moderate Growth
2011-11-01,208,660507,708164,-6.73,208,221,-5.88,6449112,2.25,3175.51,Decline
2011-12-01,222,669395,660507,1.35,222,208,6.73,7118507,2.28,3015.29,Stable
2012-01-01,252,495363,669395,-26.00,252,222,13.51,7613870,1.69,1965.73,Decline
2012-02-01,260,506992,495363,2.35,260,252,3.17,8120862,1.73,1949.97,Stable
2012-03-01,212,373478,506992,-26.33,212,260,-18.46,8494340,1.27,1761.69,Decline
2012-04-01,219,400324,373478,7.19,219,212,3.30,8894664,1.36,1827.96,Moderate Growth
2012-05-01,207,358866,400324,-10.36,207,219,-5.48,9253530,1.22,1733.65,Decline
2012-06-01,318,555142,358866,54.69,318,207,53.62,9808672,1.89,1745.73,High Growth
2012-07-01,246,444533,555142,-19.92,246,318,-22.64,10253205,1.51,1807.04,Decline
2012-08-01,294,523887,444533,17.85,294,246,19.51,10777092,1.78,1781.93,Moderate Growth
2012-09-01,269,486149,523887,-7.20,269,294,-8.50,11263241,1.66,1807.25,Decline
2012-10-01,313,535125,486149,10.07,313,269,16.36,11798366,1.82,1709.66,Moderate Growth
2012-11-01,324,537918,535125,0.52,324,313,3.51,12336284,1.83,1660.24,Stable
2012-12-01,483,624454,537918,16.09,355,324,9.57,12960738,2.13,1759.03,Moderate Growth
2013-01-01,1677,857758,624454,37.36,632,355,78.03,13818496,2.92,1357.21,High Growth
2013-02-01,3454,771218,857758,-10.09,1421,632,124.84,14589714,2.63,542.73,Decline
2013-03-01,4087,1049732,771218,36.11,1690,1421,18.93,15639446,3.58,621.14,High Growth
2013-04-01,3979,1045860,1049732,-0.37,1612,1690,-4.62,16685306,3.56,648.80,Stable
2013-05-01,4400,1284456,1045860,22.81,1792,1612,11.17,17969762,4.38,716.77,High Growth
2013-06-01,5025,1642948,1284456,27.91,2007,1792,12.00,19612710,5.60,818.61,High Growth
2013-07-01,4673,1371595,1642948,-16.52,1875,2007,-6.58,20984305,4.67,731.52,Decline
2013-08-01,4848,1545910,1371595,12.71,1964,1875,4.75,22530215,5.27,787.12,Moderate Growth
2013-09-01,4616,1447324,1545910,-6.38,1884,1964,-4.07,23977539,4.93,768.22,Decline
2013-10-01,5304,1673261,1447324,15.61,2131,1884,13.11,25650800,5.70,785.20,Moderate Growth
2013-11-01,5224,1780688,1673261,6.42,2087,2131,-2.06,27431488,6.07,853.23,Moderate Growth
2013-12-01,5520,1874128,1780688,5.25,2192,2087,5.03,29305616,6.39,854.99,Moderate Growth
2014-01-01,1970,45642,1874128,-97.56,871,2192,-60.26,29351258,0.16,52.40,Decline
